Mall Name,Region,Latitude,Longitude
100 AM,Central,1.2899175,103.8519072
313@Somerset,Central,1.3010188,103.8385057
Aperia,Central,1.3105906,103.8641514
Balestier Hill Shopping Centre,Central,1.32542415,103.8425542
Bugis Cube,Central,1.2982756,103.8555546
Bugis Junction,Central,1.2989008,103.855176
Bugis+,Central,1.299966,103.8552892
Capitol Piazza,Central,1.2929876,103.8511619
Cathay Cineleisure Orchard,Central,1.3014468,103.8364807
Clarke Quay Central,Central,1.2886446,103.8465734
The Centrepoint,Central,1.3018345,103.8397127
City Square Mall,Central,1.3113537,103.8565712
City Gate Mall,Central,1.3022509,103.8625132
CityLink Mall,Central,1.2921921,103.8545358
Duo,Central,1.299844299,103.8585614
Far East Plaza,Central,1.3071429,103.8336405
Funan,Central,1.291313,103.8499471
Great World City,Central,1.29345175,103.8319929
GRiD,Central,1.40339215,103.9690582
HDB Hub,Central,1.3319765,103.8485384
Holland Village Shopping Mall,Central,1.310912,103.7951937
ION Orchard,Central,1.30394785,103.8319051
Junction 8,Central,1.3505893,103.8487447
Knightsbridge,Central,1.303387231,103.8368498
Liat Towers,Central,1.3050783,103.8307259
Lucky Plaza,Central,1.3046029,103.8339122
Marina Bay Sands,Central,1.2836965,103.8607226
The Shoppes at Marina Bay Sands,Central,1.2840209,103.8588683
Marina Bay Link Mall,Central,1.2808361,103.8539888
Marina Square,Central,1.29071265,103.8583454
Millenia Walk,Central,1.292471,103.8596399
Mustafa Shopping Centre,Central,1.3099676,103.8554251
Ngee Ann City,Central,1.30261705,103.8345284
One Holland Village,Central,1.3111708,103.7941552
Orchard Central,Central,1.30064265,103.8399231
Orchard Gateway,Central,1.30063325,103.8389821
Orchard Plaza,Central,1.3012311,103.8411237
Midpoint Orchard,Central,1.3017143,103.8386311
Palais Renaissance,Central,1.3067203,103.8296522
People's Park Centre,Central,1.28583565,103.8440337
People's Park Complex,Central,1.28413865,103.842557
Plaza Singapura,Central,1.3004414,103.8449028
Raffles City,Central,1.2933906,103.8532557
Scotts Square,Central,1.30583435,103.8329333
Shaw House and Centre,Central,1.3062932,103.8318472
Sim Lim Square,Central,1.3030332,103.8530255
Singapore Shopping Centre,Central,1.2981147,103.8441112
The South Beach,Central,1.2957395,103.8566136
Square 2,Central,1.3206362,103.8441867
Sunshine Plaza,Central,1.30035675,103.8509415
Suntec City,Central,1.2942651,103.8591876
Tanglin Mall,Central,1.3048201,103.8238677
Tanjong Pagar Centre,Central,1.276623,103.8431577
Tekka Centre,Central,1.30619115,103.8506146
The Adelphi,Central,1.2911776,103.851395
The Paragon,Central,1.3039633,103.8360565
Tiong Bahru Plaza,Central,1.2863599,103.827333
The Poiz,Central,1.33161365,103.8683688
Thomson Plaza,Central,1.35454475,103.8308206
United Square,Central,1.31725795,103.8436009
Thomson V,Central,1.3534286,103.835574
Velocity@Novena Square,Central,1.3197981,103.8440434
Wheelock Place,Central,1.3046691,103.8306003
Wisma Atria,Central,1.30369665,103.8332876
Zhongshan Mall,Central,1.3266546,103.846438
Bedok Mall,East,1.32486265,103.9292277
Century Square,East,1.35237745,103.9438195
City Plaza,East,1.3147175,103.8934143
Changi City Point,East,1.334113,103.9627137
Downtown East,East,1.3773722,103.954648
Djitsun Mall Bedok,East,1.32612935,103.929555
Eastpoint Mall,East,1.3424679,103.9528535
Jewel Changi Airport,East,1.36022425,103.9896749
KINEX,East,1.31476385,103.894707
Katong Shopping Centre,East,1.30387795,103.9011731
Katong Square,East,1.30470365,103.9048008
Kallang Wave Mall,East,1.3035502,103.8727811
Leisure Park Kallang,East,1.3022347,103.8765544
i12 Katong,East,1.3052106,103.9050088
Our Tampines Hub,East,1.3530262,103.9406728
Parkway Parade,East,1.30137335,103.9051778
Pasir Ris Mall,East,1.3737492,103.9486867
Pasir Ris West Plaza,East,1.379485,103.935886
Paya Lebar Square,East,1.31862245,103.8926348
Paya Lebar Quarter,East,1.31862245,103.8926348
Roxy Square,East,1.3043505,103.9040714
Singpost Centre,East,1.31895315,103.8947901
Tampines 1,East,1.35422,103.9451247
Tampines Mall,East,1.35254345,103.9447383
White Sands,East,1.37249645,103.9497434
Elias Mall,East,1.3788268,103.941808
Loyang Point,East,1.3670723,103.9654027
888 Plaza,North,1.43780985,103.7953161
Admiralty Place,North,1.43967105,103.801875
AMK Hub,North,1.36943465,103.848334
Canberra Plaza,North,1.4431568,103.830618
Causeway Point,North,1.4360831,103.7860059
HDB Hub,North,1.3319765,103.8485384
Broadway Plaza,North,1.37193525,103.8459597
Jubilee Square,North,1.37178005,103.8477747
Junction 8,North,1.3505893,103.8487447
Junction Nine,North,1.4331446,103.8416997
Marsiling Mall,North,1.4332503,103.780787
Northpoint City,North,1.4282062,103.836264
Sembawang Shopping Centre,North,1.44186825,103.8249312
Sun Plaza,North,1.448097632,103.8190194
Vista Point,North,1.4307324,103.7940437
Wisteria Mall,North,1.4182429,103.8412529
Woodlands Civic Centre,North,1.4345482,103.7865274
Woodlands Mart,North,1.4456569,103.798172
Woodlands North Plaza,North,1.4429535,103.7908319
Anchorvale Village,North East,1.3966592,103.8884007
Buangkok Square,North East,1.38397975,103.8819609
Compass One,North East,1.3920337,103.8949527
Greenwich V,North East,1.38750095,103.8693942
Heartland Mall,North East,1.35949165,103.8852177
Hougang 1,North East,1.37571905,103.8794915
Hougang Green Shopping Mall,North East,1.3791215,103.8878419
Hougang Mall,North East,1.3725735,103.8937879
NEX,North East,1.3505193,103.8722533
Northshore Plaza,North East,1.4167181,103.9021341
Oasis Terraces,North East,1.402819,103.91321
Punggol Coast Mall,North East,1.415331,103.9100526
Punggol Plaza,North East,1.3942793,103.9129336
Rivervale Mall,North East,1.39224515,103.9043778
Rivervale Plaza,North East,1.3852051,103.9016164
Sengkang Grand Mall,North East,1.3833252,103.892231
The Seletar Mall,North East,1.3917231,103.8760293
Upper Serangoon Shopping Centre,North East,1.3536587,103.8788228
Waterway Point,North East,1.40642655,103.9020102
myVillage At Serangoon Garden,North East,1.3650699,103.8652075
Beauty World Centre,North West,1.342359,103.7764335
Beauty World Plaza,North West,1.3419229,103.7761729
Bukit Panjang Plaza,North West,1.37865495,103.7620908
Bukit Timah Plaza,North West,1.3387585,103.7787493
Fajar Shopping Centre,North West,1.38354845,103.7710101
Greenridge Shopping Centre,North West,1.38533355,103.7661744
Hillion Mall,North West,1.37850815,103.7633212
HillV2,North West,1.3634382,103.7644358
Junction 10,North West,1.3803675,103.7601674
Keat Hong Shopping Centre,North West,1.37733185,103.7444165
Limbang Shopping Centre,North West,1.3919423,103.7433051
Lot One,North West,1.3851169,103.7449142
Rail Mall,North West,1.3580838,103.7679036
Sunshine Place,North West,1.37779095,103.7389211
Teck Whye Shopping Centre,North West,1.3807832,103.7524705
West Mall,North West,1.3500765,103.7492566
Yew Tee Point,North West,1.3971484,103.7465502
Yew Tee Square,North West,1.3982858,103.7470082
VivoCity,South,1.26437065,103.8229537
HarbourFront Centre,South,1.26422175,103.8202454
Alexandra Retail Centre,South,1.2738926,103.8014564
321 Clementi,West,1.31198275,103.7650201
The Clementi Mall,West,1.314676,103.7640222
IMM,West,1.334611,103.7467494
Jem,West,1.3332962,103.7433912
Westgate,West,1.334194,103.7428671
Jurong Point,West,1.33949635,103.705254
Pioneer Mall,West,1.34169785,103.6971606
The Star Vista,West,1.30683155,103.7884243
Alexandra Central,West,1.2873279,103.8052276
Anchorpoint,West,1.2886745,103.8050952
OD Mall,West,1.3380084,103.7934418
Boon Lay Shopping Centre,West,1.34633675,103.7127614
Grantral Mall,West,1.31429725,103.7651371
Fairprice Hub,West,1.32553245,103.6784394
Gek Poh Shopping Centre,West,1.3488987,103.6979296
Rochester Mall,West,1.30565775,103.7880838
Taman Jurong Shopping Centre,West,1.33478625,103.7201085
West Coast Plaza,West,1.303774,103.766084
Plantation Plaza,West,1.3575258,103.7342031
Tengah Mall,West,1.3555189,103.7308145
Queensway Shopping Centre,West,1.28753815,103.8035059
The Rail Mall,West,1.3592238,103.7676646
