school_name,Longitude,Latitude
ADMIRALTY SECONDARY SCHOOL,103.8024734,1.4462376
AHMAD IBRAHIM SECONDARY SCHOOL,103.8299439,1.4361584
ANDERSON SECONDARY SCHOOL,103.8514247,1.3745694
ANG MO KIO SECONDARY SCHOOL,103.8430018,1.3678468
ANGLICAN HIGH SCHOOL,103.9424173,1.3300312
ANGLO-CHINESE SCHOOL (BARKER ROAD),103.8359107,1.3188307
ASSUMPTION ENGLISH SCHOOL,103.76621,1.3694697
ASSUMPTION PATHWAY SCHOOL,103.766424,1.3706055
BARTLEY SECONDARY SCHOOL,103.8822521,1.3406509
BEATTY SECONDARY SCHOOL,103.8521508,1.3417947
BEDOK GREEN SECONDARY SCHOOL,103.935478,1.3339721
BEDOK SOUTH SECONDARY SCHOOL,103.9511065,1.324557
BEDOK VIEW SECONDARY SCHOOL,103.9445573,1.3250719
BENDEMEER SECONDARY SCHOOL,103.8614214,1.3245569
BOON LAY SECONDARY SCHOOL,103.7022037,1.3422777
BOWEN SECONDARY SCHOOL,103.8777433,1.3701471
BROADRICK SECONDARY SCHOOL,103.8869961,1.307581
BUKIT BATOK SECONDARY SCHOOL,103.7402334,1.348343
BUKIT MERAH SECONDARY SCHOOL,103.813486,1.2859978
BUKIT PANJANG GOVT. HIGH SCHOOL,103.7384042,1.3819464
BUKIT VIEW SECONDARY SCHOOL,103.7532888,1.3454742
CANBERRA SECONDARY SCHOOL,103.8144723,1.453743
CEDAR GIRLS' SECONDARY SCHOOL,103.874066,1.3342922
CHANGKAT CHANGI SECONDARY SCHOOL,103.9528086,1.3410469
CHIJ KATONG CONVENT,103.9173806,1.3065882
CHIJ SECONDARY (TOA PAYOH),103.8432709,1.3324544
CHIJ ST. JOSEPH'S CONVENT,103.9025211,1.3918631
CHIJ ST. THERESA'S CONVENT,103.8218088,1.2752498
CHRIST CHURCH SECONDARY SCHOOL,103.7934263,1.4264062
CHUA CHU KANG SECONDARY SCHOOL,103.7525746,1.3833946
CHUNG CHENG HIGH SCHOOL (MAIN),103.8910771,1.3059683
CHUNG CHENG HIGH SCHOOL (YISHUN),103.8375598,1.4188659
CLEMENTI TOWN SECONDARY SCHOOL,103.7617945,1.3154188
COMMONWEALTH SECONDARY SCHOOL,103.7456038,1.3196178
COMPASSVALE SECONDARY SCHOOL,103.9001254,1.3963705
CRESCENT GIRLS' SCHOOL,103.8177493,1.2936915
CREST SECONDARY SCHOOL,103.7429905,1.3432043
DAMAI SECONDARY SCHOOL,103.9215479,1.3370403
DEYI SECONDARY SCHOOL,103.8523895,1.3661779
DUNEARN SECONDARY SCHOOL,103.7453218,1.3628678
DUNMAN SECONDARY SCHOOL,103.9561168,1.3610284
EAST SPRING SECONDARY SCHOOL,103.9606858,1.3568002
EDGEFIELD SECONDARY SCHOOL,103.9021282,1.3998258
EVERGREEN SECONDARY SCHOOL,103.7935705,1.4414286
FAIRFIELD METHODIST SCHOOL (SECONDARY),103.7845323,1.3016941
FUHUA SECONDARY SCHOOL,103.7266655,1.3472995
GAN ENG SENG SCHOOL,103.823772,1.2898687
GEYLANG METHODIST SCHOOL (SECONDARY),103.8828971,1.3181272
GREENDALE SECONDARY SCHOOL,103.9117179,1.396986
GREENRIDGE SECONDARY SCHOOL,103.7735301,1.3829226
GUANGYANG SECONDARY SCHOOL,103.8506075,1.3444987
HAI SING CATHOLIC SCHOOL,103.954463,1.374513
HILLGROVE SECONDARY SCHOOL,103.7530941,1.3538159
HOLY INNOCENTS' HIGH SCHOOL,103.8824871,1.3576174
HOUGANG SECONDARY SCHOOL,103.8821388,1.3775793
HUA YI SECONDARY SCHOOL,103.7216353,1.351496
JUNYUAN SECONDARY SCHOOL,103.93347,1.3533854
JURONG SECONDARY SCHOOL,103.7242827,1.3305163
JURONG WEST SECONDARY SCHOOL,103.7025853,1.3360175
JURONGVILLE SECONDARY SCHOOL,103.7291022,1.3517285
JUYING SECONDARY SCHOOL,103.6872229,1.3393008
KENT RIDGE SECONDARY SCHOOL,103.7649225,1.3014063
KRANJI SECONDARY SCHOOL,103.7416049,1.3900744
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,103.8549002,1.3505688
LOYANG VIEW SECONDARY SCHOOL,103.9568241,1.3669822
MANJUSRI SECONDARY SCHOOL,103.9012733,1.3275771
MARSILING SECONDARY SCHOOL,103.7763046,1.4381712
MAYFLOWER SECONDARY SCHOOL,103.8354783,1.3687245
MERIDIAN SECONDARY SCHOOL,103.9492253,1.3675649
METHODIST GIRLS' SCHOOL (SECONDARY),103.7841023,1.3316333
MONTFORT SECONDARY SCHOOL,103.8890709,1.3734625
NAN CHIAU HIGH SCHOOL,103.8897708,1.3884836
NAN HUA HIGH SCHOOL,103.769803,1.3080492
NANYANG GIRLS' HIGH SCHOOL,103.8028406,1.3301748
NAVAL BASE SECONDARY SCHOOL,103.8310729,1.4192196
NEW TOWN SECONDARY SCHOOL,-71.3014403,42.2692327
NGEE ANN SECONDARY SCHOOL,103.9566566,1.3548497
NORTH VISTA SECONDARY SCHOOL,103.8988797,1.3811522
NORTHBROOKS SECONDARY SCHOOL,103.845149,1.42109
NORTHLAND SECONDARY SCHOOL,103.8401975,1.4358598
NORTHLIGHT SCHOOL,103.856139,1.3197777
ORCHID PARK SECONDARY SCHOOL,103.8381211,1.4155579
OUTRAM SECONDARY SCHOOL,103.8368881,1.2867707
PASIR RIS CREST SECONDARY SCHOOL,103.959437,1.3728585
PASIR RIS SECONDARY SCHOOL,103.9486178,1.3548028
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),103.8855576,1.3505049
PEI HWA SECONDARY SCHOOL,103.8789063,1.3910336
PEICAI SECONDARY SCHOOL,103.8705415,1.3593621
PEIRCE SECONDARY SCHOOL,103.8298425,1.3663969
PRESBYTERIAN HIGH SCHOOL,103.848077,1.3726167
PUNGGOL SECONDARY SCHOOL,103.9090973,1.4015644
QUEENSTOWN SECONDARY SCHOOL,-71.39041,41.7710745
QUEENSWAY SECONDARY SCHOOL,103.8020329,1.3005169
RAFFLES GIRLS' SCHOOL (SECONDARY),103.8432826,1.3430614
REGENT SECONDARY SCHOOL,103.7511802,1.3940776
RIVERSIDE SECONDARY SCHOOL,103.7885427,1.4404733
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",-75.37511599999999,39.7621362
SEMBAWANG SECONDARY SCHOOL,103.8172117,1.4458198
SENG KANG SECONDARY SCHOOL,103.8985519,1.386559
SERANGOON GARDEN SECONDARY SCHOOL,103.8694184,1.3695073
SERANGOON SECONDARY SCHOOL,103.9022586,1.3750545
SINGAPORE CHINESE GIRLS' SCHOOL,103.828107,1.3211127
SPECTRA SECONDARY SCHOOL,103.8046821,1.4365125
SPRINGFIELD SECONDARY SCHOOL,103.9300265,1.349796
ST. ANDREW'S SECONDARY SCHOOL,103.8658417,1.331532
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,103.9435588,1.3349612
ST. GABRIEL'S SECONDARY SCHOOL,103.8754112,1.347023
ST. HILDA'S SECONDARY SCHOOL,103.9370129,1.3496839
ST. MARGARET'S SCHOOL (SECONDARY),103.8095942,1.3199814
ST. PATRICK'S SCHOOL,103.9169367,1.3088628
SWISS COTTAGE SECONDARY SCHOOL,103.7505642,1.3647753
TAMPINES SECONDARY SCHOOL,103.9440577,1.3498319
TANJONG KATONG GIRLS' SCHOOL,103.8959056,1.3086304
TANJONG KATONG SECONDARY SCHOOL,103.8975991,1.3083424
TEMASEK SECONDARY SCHOOL,103.9480281,1.3161308
UNITY SECONDARY SCHOOL,103.7461138,1.3996484
VICTORIA SCHOOL,103.9277994,1.3088257
WEST SPRING SECONDARY SCHOOL,103.7599975,1.3876582
WESTWOOD SECONDARY SCHOOL,103.7018617,1.3538383
WHITLEY SECONDARY SCHOOL,103.8432287,1.3553956
WOODGROVE SECONDARY SCHOOL,103.7963373,1.4286537
WOODLANDS RING SECONDARY SCHOOL,103.7772815,1.4308571
WOODLANDS SECONDARY SCHOOL,103.7744201,1.4397997
XINMIN SECONDARY SCHOOL,103.8827875,1.3725013
YIO CHU KANG SECONDARY SCHOOL,103.8477804,1.3717963
YISHUN SECONDARY SCHOOL,103.8290886,1.4281937
YISHUN TOWN SECONDARY SCHOOL,103.8384964,1.432482
YUAN CHING SECONDARY SCHOOL,103.7211977,1.3422621
YUHUA SECONDARY SCHOOL,103.7224462,1.3473212
YUSOF ISHAK SECONDARY SCHOOL,103.7605371,1.3427472
YUYING SECONDARY SCHOOL,103.8901059,1.3571717
ZHENGHUA SECONDARY SCHOOL,103.7652707,1.3887839
ZHONGHUA SECONDARY SCHOOL,103.8692611,1.3493936
